Answers,Questions,Genre
art and drawing .,Do you have a favorite subject,Artistic
yes .,Do you enjoy cooking,Other
I appreciate historical art .,What type of art do you appreciate,Artistic
I am interested in the history of the Industrial Revolutio .,Do you have a favorite historical period,Logical
Science and Maths were challenging for me .,Which subjects do you find challenging,Logical
Drawing and painting are my work .,What do you enjoy doing on a rainy day,Artistic
Scribble is my favorite .,Tell me about your favorite app,Other
I enjoy watching cartton .,Do you have a favorite TV show,Artistic
sudoku is my favourite board game .,Do you have a favorite board game,Other
I am interested in pursuing a career in artist .,Any specific career interests,Artistic
My ideal weekend involves painting and sketching .,Describe your ideal weekend,Artistic
I am fascinated by the life Chhatrapati Shivaji Maharaj,Tell me about your favorite historical figure,Other
My favorite superhero is Spider-Man,Tell me about your favorite superhero,Other
I enjoy playing adventure and puzzle-solving game .,What type of video games do you play,Artistic
I like listening to Cultural .,What type of music do you listen to,Other
I enjoy doing craft art .,What are your favorite hobbies,Artistic
I feel confident in making carttons,What subjects do you feel most confident in,Artistic
