Art Director,Sculptor,Graphic Designer,isPartial
24,34,95,False
30,34,94,False
23,31,93,False
26,34,80,False
17,30,81,False
20,34,71,False
29,33,95,False
24,28,93,False
25,32,86,False
20,29,98,False
26,29,76,False
15,35,63,False
19,37,76,False
25,28,89,False
26,37,90,False
23,29,92,False
26,32,86,False
26,31,84,False
16,27,77,False
17,35,62,False
25,28,88,False
28,28,97,False
25,33,95,False
24,28,89,False
26,35,83,False
18,31,73,False
22,34,67,False
25,36,89,False
31,30,95,False
21,37,82,False
22,34,83,False
18,25,83,False
16,29,75,False
15,29,57,False
19,27,84,False
26,31,91,False
26,36,98,False
24,33,94,False
21,29,81,False
17,36,71,False
15,35,65,False
22,32,75,False
22,31,81,False
22,30,85,False
27,28,88,False
21,28,86,False
18,22,69,False
10,26,62,False
29,31,97,False
23,32,94,False
25,30,87,False
24,30,89,False
19,31,81,False
18,29,71,False
14,30,59,False
24,32,100,False
27,28,91,False
24,23,85,False
26,32,97,False
29,27,79,False
37,32,77,False
52,29,70,False
32,33,92,False
23,28,92,False
27,28,86,False
23,28,88,False
23,28,84,False
18,27,77,False
16,26,68,False
23,32,92,False
28,35,88,False
25,25,97,False
26,30,96,False
22,28,84,False
12,29,68,False
15,31,71,False
24,28,94,False
25,30,96,False
24,34,95,False
23,44,90,False
22,31,84,False
15,29,76,False
15,29,65,False
23,28,89,False
23,28,97,False
22,28,87,False
24,25,90,False
22,25,83,False
16,30,76,False
13,25,62,False
16,21,79,True
